| Module | statements | missing | excluded | coverage |
| Total | 2624 | 637 | 0 | 76% |
| /opt/odoo/lib/addons/rental-vertical/rental_product_set/wizard/product_set_add.py | 62 | 47 | 0 | 24% |
| /opt/odoo/lib/addons/rental-vertical/rental_timeline_repair/models/product_timeline.py | 22 | 16 | 0 | 27% |
| /opt/odoo/lib/addons/rental-vertical/rental_timeline_repair/models/repair.py | 64 | 40 | 0 | 38% |
| /opt/odoo/lib/addons/rental-vertical/rental_timeline_transport/models/product_timeline.py | 23 | 14 | 0 | 39% |
| /opt/odoo/lib/addons/rental-vertical/sale_rental/hooks.py | 7 | 4 | 0 | 43% |
| /opt/odoo/lib/addons/rental-vertical/rental_product_instance_repair/models/product.py | 9 | 5 | 0 | 44% |
| /opt/odoo/lib/addons/rental-vertical/rental_contract/models/contract.py | 55 | 30 | 0 | 45% |
| /opt/odoo/lib/addons/rental-vertical/rental_timeline_product_instance_appointment/models/product_timeline.py | 11 | 6 | 0 | 45% |
| /opt/odoo/lib/addons/rental-vertical/rental_repair/models/product.py | 31 | 16 | 0 | 48% |
| /opt/odoo/lib/addons/rental-vertical/rental_timeline/models/product_timeline.py | 79 | 40 | 0 | 49% |
| /opt/odoo/lib/addons/rental-vertical/sale_rental/models/sale_order.py | 132 | 67 | 0 | 49% |
| /opt/odoo/lib/addons/rental-vertical/rental_timeline_offday/models/product_timeline.py | 10 | 5 | 0 | 50% |
| /opt/odoo/lib/addons/rental-vertical/rental_transport_purchase_request/models/sale.py | 132 | 61 | 0 | 54% |
| /opt/odoo/lib/addons/rental-vertical/rental_contract/models/product.py | 39 | 17 | 0 | 56% |
| /opt/odoo/lib/addons/rental-vertical/rental_timeline_product_instance/models/product_timeline.py | 31 | 13 | 0 | 58% |
| /opt/odoo/lib/addons/rental-vertical/rental_contract/models/contract_order_type.py | 34 | 13 | 0 | 62% |
| /opt/odoo/lib/addons/rental-vertical/sale_rental/models/stock.py | 107 | 40 | 0 | 63% |
| /opt/odoo/lib/addons/rental-vertical/rental_contract/models/contract_line.py | 17 | 6 | 0 | 65% |
| /opt/odoo/lib/addons/rental-vertical/rental_product_variant/models/product.py | 98 | 30 | 0 | 69% |
| /opt/odoo/lib/addons/rental-vertical/rental_timeline_product_variant/models/product_timeline.py | 16 | 5 | 0 | 69% |
| /opt/odoo/lib/addons/rental-vertical/rental_product_instance_repair/models/project.py | 7 | 2 | 0 | 71% |
| /opt/odoo/lib/addons/rental-vertical/rental_transport_purchase_request/models/purchase.py | 17 | 5 | 0 | 71% |
| /opt/odoo/lib/addons/rental-vertical/sale_rental/models/sale_rental.py | 80 | 23 | 0 | 71% |
| /opt/odoo/lib/addons/rental-vertical/rental_invoice/models/account_invoice.py | 44 | 12 | 0 | 73% |
| /opt/odoo/lib/addons/rental-vertical/rental_timeline/models/sale.py | 75 | 20 | 0 | 73% |
| /opt/odoo/lib/addons/rental-vertical/rental_timeline_transport/models/purchase.py | 65 | 15 | 0 | 77% |
| /opt/odoo/lib/addons/rental-vertical/rental_contract/models/account_invoice.py | 14 | 3 | 0 | 79% |
| /opt/odoo/lib/addons/rental-vertical/rental_repair/models/project.py | 14 | 3 | 0 | 79% |
| /opt/odoo/lib/addons/rental-vertical/rental_pricelist/models/sale.py | 158 | 32 | 0 | 80% |
| /opt/odoo/lib/addons/rental-vertical/sale_rental/models/product.py | 16 | 3 | 0 | 81% |
| /opt/odoo/lib/addons/rental-vertical/rental_repair/models/repair.py | 68 | 12 | 0 | 82% |
| /opt/odoo/lib/addons/rental-vertical/rental_contract/models/sale.py | 48 | 6 | 0 | 88% |
